"Drama","Episode","Ratings_1"
"真愛找麻煩",1,1.07
"真愛找麻煩",2,1.07
"真愛找麻煩",3,1.07
"真愛找麻煩",4,1.07
"真愛找麻煩",5,1.07
"真愛找麻煩",6,1.07
"真愛找麻煩",7,1.07
"真愛找麻煩",8,1.07
"真愛找麻煩",9,1.07
"真愛找麻煩",10,1.07
"真愛找麻煩",11,1.07
"真愛找麻煩",12,1.07
"真愛找麻煩",13,1.07
"真愛找麻煩",14,1.07
"真愛找麻煩",15,1.07
"真愛找麻煩",16,1.07
"真愛找麻煩",17,1.07
"真愛找麻煩",18,1.07
"真愛找麻煩",19,1.07
"真愛找麻煩",20,1.07
"真愛找麻煩",21,1.07
"真愛找麻煩",22,1.07
"真愛找麻煩",23,1.07
"真愛找麻煩",24,1.07
"真愛找麻煩",25,1.07
"真愛找麻煩",26,1.07
"真愛找麻煩",27,1.07
"真愛找麻煩",28,1.07
"真愛找麻煩",29,1.07
"真愛找麻煩",30,1.07
"真愛找麻煩",31,1.07
"真愛找麻煩",32,1.07
"真愛找麻煩",33,1.07
"真愛找麻煩",34,1.07
"真愛找麻煩",35,1.07
"真愛找麻煩",36,1.07
"真愛找麻煩",37,1.07
"真愛找麻煩",38,1.07
"真愛找麻煩",39,1.07
"真愛找麻煩",40,1.07
"真愛找麻煩",41,1.07
"真愛找麻煩",42,1.07
"真愛找麻煩",43,1.07
"真愛找麻煩",44,1.07
"真愛找麻煩",45,1.07
"真愛找麻煩",46,1.07
"真愛找麻煩",47,1.07
"真愛找麻煩",48,1.07
"真愛找麻煩",49,1.07
"真愛找麻煩",50,1.07
"真愛找麻煩",51,1.07
"真愛找麻煩",52,1.07
"真愛找麻煩",53,1.07
"真愛找麻煩",54,1.07
"真愛找麻煩",55,1.07
"真愛找麻煩",56,1.07
"真愛找麻煩",57,1.07
"真愛找麻煩",58,1.07
"真愛找麻煩",59,1.07
"真愛找麻煩",60,1.07
"真愛找麻煩",61,1.07
"真愛找麻煩",62,1.07
"真愛找麻煩",63,1.07
"真愛找麻煩",64,1.07
"真愛找麻煩",65,1.07
"真愛找麻煩",66,1.07
"真愛找麻煩",67,1.07
"真愛找麻煩",68,1.07
"真愛找麻煩",69,1.07
"真愛找麻煩",70,1.07
"真愛找麻煩",71,1.07
"真愛找麻煩",72,1.07
"真愛找麻煩",73,1.07
"真愛找麻煩",74,1.07
"真愛找麻煩",75,1.07
"真愛找麻煩",76,1.07
"真愛找麻煩",77,1.07
"真愛找麻煩",78,1.07
"真愛找麻煩",79,1.07
"真愛找麻煩",80,1.07
"真愛找麻煩",81,1.07
"真愛找麻煩",82,1.07
