"Drama","Episode","Day","Day_1"
"真愛找麻煩",1,"星期二",2
"真愛找麻煩",2,"星期三",3
"真愛找麻煩",3,"星期四",5
"真愛找麻煩",4,"星期五",4
"真愛找麻煩",5,"星期一",1
"真愛找麻煩",6,"星期二",2
"真愛找麻煩",7,"星期三",3
"真愛找麻煩",8,"星期四",5
"真愛找麻煩",9,"星期五",4
"真愛找麻煩",10,"星期一",1
"真愛找麻煩",11,"星期二",2
"真愛找麻煩",12,"星期三",3
"真愛找麻煩",13,"星期四",5
"真愛找麻煩",14,"星期五",4
"真愛找麻煩",15,"星期一",1
"真愛找麻煩",16,"星期二",2
"真愛找麻煩",17,"星期三",3
"真愛找麻煩",18,"星期四",5
"真愛找麻煩",19,"星期五",4
"真愛找麻煩",20,"星期一",1
"真愛找麻煩",21,"星期二",2
"真愛找麻煩",22,"星期三",3
"真愛找麻煩",23,"星期四",5
"真愛找麻煩",24,"星期五",4
"真愛找麻煩",25,"星期一",1
"真愛找麻煩",26,"星期二",2
"真愛找麻煩",27,"星期三",3
"真愛找麻煩",28,"星期四",5
"真愛找麻煩",29,"星期五",4
"真愛找麻煩",30,"星期二",2
"真愛找麻煩",31,"星期三",3
"真愛找麻煩",32,"星期四",5
"真愛找麻煩",33,"星期五",4
"真愛找麻煩",34,"星期一",1
"真愛找麻煩",35,"星期二",2
"真愛找麻煩",36,"星期三",3
"真愛找麻煩",37,"星期四",5
"真愛找麻煩",38,"星期五",4
"真愛找麻煩",39,"星期一",1
"真愛找麻煩",40,"星期二",2
"真愛找麻煩",41,"星期三",3
"真愛找麻煩",42,"星期四",5
"真愛找麻煩",43,"星期五",4
"真愛找麻煩",44,"星期一",1
"真愛找麻煩",45,"星期二",2
"真愛找麻煩",46,"星期三",3
"真愛找麻煩",47,"星期四",5
"真愛找麻煩",48,"星期五",4
"真愛找麻煩",49,"星期一",1
"真愛找麻煩",50,"星期二",2
"真愛找麻煩",51,"星期三",3
"真愛找麻煩",52,"星期四",5
"真愛找麻煩",53,"星期五",4
"真愛找麻煩",54,"星期一",1
"真愛找麻煩",55,"星期二",2
"真愛找麻煩",56,"星期三",3
"真愛找麻煩",57,"星期四",5
"真愛找麻煩",58,"星期五",4
"真愛找麻煩",59,"星期一",1
"真愛找麻煩",60,"星期二",2
"真愛找麻煩",61,"星期三",3
"真愛找麻煩",62,"星期四",5
"真愛找麻煩",63,"星期五",4
"真愛找麻煩",64,"星期一",1
"真愛找麻煩",65,"星期二",2
"真愛找麻煩",66,"星期三",3
"真愛找麻煩",67,"星期四",5
"真愛找麻煩",68,"星期五",4
"真愛找麻煩",69,"星期一",1
"真愛找麻煩",70,"星期二",2
"真愛找麻煩",71,"星期三",3
"真愛找麻煩",72,"星期四",5
"真愛找麻煩",73,"星期五",4
"真愛找麻煩",74,"星期一",1
"真愛找麻煩",75,"星期二",2
"真愛找麻煩",76,"星期三",3
"真愛找麻煩",77,"星期四",5
"真愛找麻煩",78,"星期五",4
"真愛找麻煩",79,"星期一",1
"真愛找麻煩",80,"星期二",2
"真愛找麻煩",81,"星期三",3
"真愛找麻煩",82,"星期四",5
"真愛找麻煩",83,"星期五",4
"真愛找麻煩",84,"星期一",1
"剩女保鑣",1,"星期二",2
"剩女保鑣",2,"星期三",3
"剩女保鑣",3,"星期四",5
"剩女保鑣",4,"星期五",4
"剩女保鑣",5,"星期一",1
"剩女保鑣",6,"星期二",2
"剩女保鑣",7,"星期三",3
"剩女保鑣",8,"星期四",5
"剩女保鑣",9,"星期五",4
"剩女保鑣",10,"星期一",1
"剩女保鑣",11,"星期二",2
"剩女保鑣",12,"星期三",3
"剩女保鑣",13,"星期四",5
"剩女保鑣",14,"星期五",4
"剩女保鑣",15,"星期一",1
"剩女保鑣",16,"星期二",2
"剩女保鑣",17,"星期三",3
"剩女保鑣",18,"星期四",5
"剩女保鑣",19,"星期五",4
"剩女保鑣",20,"星期一",1
"剩女保鑣",21,"星期二",2
"剩女保鑣",22,"星期三",3
"剩女保鑣",23,"星期四",5
"剩女保鑣",24,"星期五",4
"剩女保鑣",25,"星期一",1
"剩女保鑣",26,"星期二",2
"剩女保鑣",27,"星期三",3
"剩女保鑣",28,"星期四",5
"剩女保鑣",29,"星期五",4
"剩女保鑣",30,"星期一",1
"剩女保鑣",31,"星期二",2
"剩女保鑣",32,"星期三",3
