Drama,Episode,Post_0,Like_0,Comment_0,Share_0,Post_1,Like_1,Comment_1,Share_1,Post_2,Like_2,Comment_2,Share_2,Post_3,Like_3,Comment_3,Share_3
真愛找麻煩,1,114,4636,165,390,7,1921,37,27,0,0,0,0,0,0,0,0
真愛找麻煩,2,101,7837,311,432,114,4636,165,390,7,1921,37,27,0,0,0,0
真愛找麻煩,3,92,1378,102,12,101,7837,311,432,114,4636,165,390,7,1921,37,27
真愛找麻煩,4,75,3380,221,84,92,1378,102,12,101,7837,311,432,114,4636,165,390
真愛找麻煩,5,81,2347,511,16,32,1625,74,22,39,277,65,0,75,3380,221,84
真愛找麻煩,6,85,1270,185,0,81,2347,511,16,32,1625,74,22,39,277,65,0
真愛找麻煩,7,132,5426,383,90,85,1270,185,0,81,2347,511,16,32,1625,74,22
真愛找麻煩,8,160,3829,359,26,132,5426,383,90,85,1270,185,0,81,2347,511,16
真愛找麻煩,9,116,4934,395,95,160,3829,359,26,132,5426,383,90,85,1270,185,0
真愛找麻煩,10,85,3409,184,19,31,330,46,0,47,2571,129,67,116,4934,395,95
真愛找麻煩,11,147,6248,402,55,85,3409,184,19,31,330,46,0,47,2571,129,67
真愛找麻煩,12,141,2235,324,23,147,6248,402,55,85,3409,184,19,31,330,46,0
真愛找麻煩,13,200,6249,480,116,141,2235,324,23,147,6248,402,55,85,3409,184,19
真愛找麻煩,14,188,4449,336,42,200,6249,480,116,141,2235,324,23,147,6248,402,55
真愛找麻煩,15,142,4758,255,30,43,3072,166,0,72,1052,137,0,188,4449,336,42
真愛找麻煩,16,156,2710,287,0,142,4758,255,30,43,3072,166,0,72,1052,137,0
真愛找麻煩,17,187,7652,507,147,156,2710,287,0,142,4758,255,30,43,3072,166,0
真愛找麻煩,18,207,8798,507,126,187,7652,507,147,156,2710,287,0,142,4758,255,30
真愛找麻煩,19,229,9821,478,234,207,8798,507,126,187,7652,507,147,156,2710,287,0
真愛找麻煩,20,173,6133,462,60,78,1080,129,0,83,1083,211,0,229,9821,478,234
真愛找麻煩,21,276,9555,712,382,173,6133,462,60,78,1080,129,0,83,1083,211,0
真愛找麻煩,22,381,10963,841,163,276,9555,712,382,173,6133,462,60,78,1080,129,0
真愛找麻煩,23,291,10661,687,80,381,10963,841,163,276,9555,712,382,173,6133,462,60
真愛找麻煩,24,308,8019,466,318,291,10661,687,80,381,10963,841,163,276,9555,712,382
