Drama,Episode,Drama_0,MaleMain_0,FemaleMain_0,Drama_1,MaleMain_1,FemaleMain_1,Drama_2,MaleMain_2,FemaleMain_2,Drama_3,MaleMain_3,FemaleMain_3
真愛找麻煩,1,5,7,6,0,2,2,0,1,2,0,2,2
真愛找麻煩,2,14,15,16,5,7,6,0,2,2,0,1,2
真愛找麻煩,3,17,15,16,14,15,16,5,7,6,0,2,2
真愛找麻煩,4,16,15,16,17,15,16,14,15,16,5,7,6
真愛找麻煩,5,12,11,11,11,11,12,14,14,15,16,15,16
真愛找麻煩,6,8,9,10,12,11,11,11,11,12,14,14,15
真愛找麻煩,7,11,11,12,8,9,10,12,11,11,11,11,12
真愛找麻煩,8,15,14,15,11,11,12,8,9,10,12,11,11
真愛找麻煩,9,18,17,18,15,14,15,11,11,12,8,9,10
真愛找麻煩,10,13,13,14,12,14,12,14,13,13,18,17,18
真愛找麻煩,11,11,11,14,13,13,14,12,14,12,14,13,13
真愛找麻煩,12,15,15,18,11,11,14,13,13,14,12,14,12
真愛找麻煩,13,16,14,15,15,15,18,11,11,14,13,13,14
真愛找麻煩,14,18,18,19,16,14,15,15,15,18,11,11,14
真愛找麻煩,15,16,16,17,17,15,15,14,12,15,18,18,19
真愛找麻煩,16,16,15,15,16,16,17,17,15,15,14,12,15
真愛找麻煩,17,20,19,20,16,15,15,16,16,17,17,15,15
真愛找麻煩,18,20,18,20,20,19,20,16,15,15,16,16,17
真愛找麻煩,19,19,16,19,20,18,20,20,19,20,16,15,15
真愛找麻煩,20,18,17,18,19,17,19,20,19,19,19,16,19
真愛找麻煩,21,16,16,18,18,17,18,19,17,19,20,19,19
真愛找麻煩,22,17,14,16,16,16,18,18,17,18,19,17,19
真愛找麻煩,23,16,16,17,17,14,16,16,16,18,18,17,18
真愛找麻煩,24,27,25,25,16,16,17,17,14,16,16,16,18
真愛找麻煩,25,22,19,20,24,21,22,21,20,19,27,25,25
真愛找麻煩,26,23,20,20,22,19,20,24,21,22,21,20,19
真愛找麻煩,27,28,24,27,23,20,20,22,19,20,24,21,22
真愛找麻煩,28,40,35,38,28,24,27,23,20,20,22,19,20
真愛找麻煩,29,29,27,31,40,35,38,28,24,27,23,20,20
真愛找麻煩,30,23,21,24,18,17,19,16,13,16,24,23,24
真愛找麻煩,31,24,22,24,23,21,24,18,17,19,16,13,16
真愛找麻煩,32,26,26,26,24,22,24,23,21,24,18,17,19
真愛找麻煩,33,27,26,27,26,26,26,24,22,24,23,21,24
真愛找麻煩,34,28,25,26,22,22,23,30,26,28,27,26,27
真愛找麻煩,35,29,26,27,28,25,26,22,22,23,30,26,28
真愛找麻煩,36,26,25,26,29,26,27,28,25,26,22,22,23
真愛找麻煩,37,25,24,25,26,25,26,29,26,27,28,25,26
真愛找麻煩,38,31,29,31,25,24,25,26,25,26,29,26,27
真愛找麻煩,39,28,28,29,22,22,23,26,25,28,31,29,31
真愛找麻煩,40,30,29,30,28,28,29,22,22,23,26,25,28
真愛找麻煩,41,24,24,26,30,29,30,28,28,29,22,22,23
真愛找麻煩,42,25,22,25,24,24,26,30,29,30,28,28,29
真愛找麻煩,43,38,36,39,25,22,25,24,24,26,30,29,30
真愛找麻煩,44,27,24,26,25,23,27,35,32,35,38,36,39
真愛找麻煩,45,29,28,30,27,24,26,25,23,27,35,32,35
真愛找麻煩,46,28,27,29,29,28,30,27,24,26,25,23,27
真愛找麻煩,47,30,28,31,28,27,29,29,28,30,27,24,26
真愛找麻煩,48,30,28,30,30,28,31,28,27,29,29,28,30
真愛找麻煩,49,25,23,24,19,20,20,25,23,24,30,28,30
真愛找麻煩,50,28,25,27,25,23,24,19,20,20,25,23,24
真愛找麻煩,51,30,28,29,28,25,27,25,23,24,19,20,20
真愛找麻煩,52,36,32,34,30,28,29,28,25,27,25,23,24
真愛找麻煩,53,37,33,34,36,32,34,30,28,29,28,25,27
真愛找麻煩,54,26,23,25,23,20,22,29,25,26,37,33,34
真愛找麻煩,55,26,24,25,26,23,25,23,20,22,29,25,26
真愛找麻煩,56,26,22,25,26,24,25,26,23,25,23,20,22
真愛找麻煩,57,34,31,31,26,22,25,26,24,25,26,23,25
真愛找麻煩,58,29,27,29,34,31,31,26,22,25,26,24,25
真愛找麻煩,59,35,29,32,25,24,24,29,25,26,29,27,29
真愛找麻煩,60,34,32,33,35,29,32,25,24,24,29,25,26
真愛找麻煩,61,37,32,33,34,32,33,35,29,32,25,24,24
真愛找麻煩,62,44,39,42,37,32,33,34,32,33,35,29,32
真愛找麻煩,63,53,49,53,44,39,42,37,32,33,34,32,33
