Drama,Episode,PostPositive_0,PostNegative_0,CommentPositive_0,CommentNegative_0,PostPositive_1,PostNegative_1,CommentPositive_1,CommentNegative_1,PostPositive_2,PostNegative_2,CommentPositive_2,CommentNegative_2,PostPositive_3,PostNegative_3,CommentPositive_3,CommentNegative_3
真愛找麻煩,1,13,7,6,1,0,0,0,1,0,0,0,2,9,2,12,2
真愛找麻煩,2,170,69,126,31,13,7,6,1,0,0,0,1,0,0,0,2
真愛找麻煩,3,171,70,123,35,170,69,126,31,13,7,6,1,0,0,0,1
真愛找麻煩,4,146,63,111,37,171,70,123,35,170,69,126,31,13,7,6,1
真愛找麻煩,5,42,15,69,19,80,26,114,65,133,62,216,76,146,63,111,37
真愛找麻煩,6,125,95,238,97,42,15,69,19,80,26,114,65,133,62,216,76
真愛找麻煩,7,201,110,351,176,125,95,238,97,42,15,69,19,80,26,114,65
真愛找麻煩,8,243,138,605,335,201,110,351,176,125,95,238,97,42,15,69,19
真愛找麻煩,9,319,157,574,323,243,138,605,335,201,110,351,176,125,95,238,97
真愛找麻煩,10,45,11,121,88,130,66,158,66,222,118,670,245,319,157,574,323
真愛找麻煩,11,152,73,215,88,45,11,121,88,130,66,158,66,222,118,670,245
真愛找麻煩,12,261,111,510,210,152,73,215,88,45,11,121,88,130,66,158,66
真愛找麻煩,13,202,115,504,241,261,111,510,210,152,73,215,88,45,11,121,88
真愛找麻煩,14,367,247,565,334,202,115,504,241,261,111,510,210,152,73,215,88
真愛找麻煩,15,90,29,252,74,188,107,184,91,400,232,483,287,367,247,565,334
真愛找麻煩,16,182,165,326,193,90,29,252,74,188,107,184,91,400,232,483,287
真愛找麻煩,17,228,141,413,279,182,165,326,193,90,29,252,74,188,107,184,91
真愛找麻煩,18,457,246,816,340,228,141,413,279,182,165,326,193,90,29,252,74
真愛找麻煩,19,470,203,741,354,457,246,816,340,228,141,413,279,182,165,326,193
真愛找麻煩,20,170,60,133,41,149,84,467,193,378,252,668,304,470,203,741,354
真愛找麻煩,21,340,232,684,340,170,60,133,41,149,84,467,193,378,252,668,304
真愛找麻煩,22,501,357,1244,634,340,232,684,340,170,60,133,41,149,84,467,193
真愛找麻煩,23,696,537,1234,807,501,357,1244,634,340,232,684,340,170,60,133,41
真愛找麻煩,24,617,393,1270,725,696,537,1234,807,501,357,1244,634,340,232,684,340
真愛找麻煩,25,210,123,768,245,288,149,434,239,580,334,655,370,617,393,1270,725
真愛找麻煩,26,555,356,900,472,210,123,768,245,288,149,434,239,580,334,655,370
真愛找麻煩,27,804,481,1228,684,555,356,900,472,210,123,768,245,288,149,434,239
真愛找麻煩,28,997,637,1348,777,804,481,1228,684,555,356,900,472,210,123,768,245
真愛找麻煩,29,1226,812,1730,982,997,637,1348,777,804,481,1228,684,555,356,900,472
真愛找麻煩,30,286,148,439,288,335,177,475,237,513,324,1174,601,883,552,1083,537
真愛找麻煩,31,623,443,906,502,286,148,439,288,335,177,475,237,513,324,1174,601
真愛找麻煩,32,713,407,812,500,623,443,906,502,286,148,439,288,335,177,475,237
真愛找麻煩,33,720,471,1134,636,713,407,812,500,623,443,906,502,286,148,439,288
真愛找麻煩,34,261,153,482,297,458,234,840,478,826,562,1327,724,720,471,1134,636
真愛找麻煩,35,1059,749,1426,912,261,153,482,297,458,234,840,478,826,562,1327,724
真愛找麻煩,36,1087,678,1957,1006,1059,749,1426,912,261,153,482,297,458,234,840,478
真愛找麻煩,37,1656,1016,1919,993,1087,678,1957,1006,1059,749,1426,912,261,153,482,297
真愛找麻煩,38,1649,974,2152,1096,1656,1016,1919,993,1087,678,1957,1006,1059,749,1426,912
真愛找麻煩,39,376,264,593,296,937,463,1845,807,1772,1077,2655,1343,1649,974,2152,1096
真愛找麻煩,40,979,553,1160,604,376,264,593,296,937,463,1845,807,1772,1077,2655,1343
真愛找麻煩,41,1187,703,1385,679,979,553,1160,604,376,264,593,296,937,463,1845,807
真愛找麻煩,42,1422,1076,1460,807,1187,703,1385,679,979,553,1160,604,376,264,593,296
真愛找麻煩,43,1613,1131,1721,1143,1422,1076,1460,807,1187,703,1385,679,979,553,1160,604
真愛找麻煩,44,562,310,923,410,1179,578,2139,854,1953,1100,1946,925,1613,1131,1721,1143
真愛找麻煩,45,1472,910,1148,655,562,310,923,410,1179,578,2139,854,1953,1100,1946,925
真愛找麻煩,46,2204,1586,1908,1151,1472,910,1148,655,562,310,923,410,1179,578,2139,854
真愛找麻煩,47,1655,1101,2210,1069,2204,1586,1908,1151,1472,910,1148,655,562,310,923,410
真愛找麻煩,48,1179,808,1361,733,1655,1101,2210,1069,2204,1586,1908,1151,1472,910,1148,655
真愛找麻煩,49,400,163,276,122,557,304,818,460,1200,738,1503,790,1179,808,1361,733
真愛找麻煩,50,1384,891,1142,697,400,163,276,122,557,304,818,460,1200,738,1503,790
真愛找麻煩,51,1334,881,1072,616,1384,891,1142,697,400,163,276,122,557,304,818,460
真愛找麻煩,52,1742,1119,1809,1190,1334,881,1072,616,1384,891,1142,697,400,163,276,122
真愛找麻煩,53,1640,1084,1823,1048,1742,1119,1809,1190,1334,881,1072,616,1384,891,1142,697
真愛找麻煩,54,300,158,524,264,740,427,1066,626,1325,833,1324,765,1640,1084,1823,1048
真愛找麻煩,55,1312,1010,1782,1192,300,158,524,264,740,427,1066,626,1325,833,1324,765
真愛找麻煩,56,1560,1107,1770,1103,1312,1010,1782,1192,300,158,524,264,740,427,1066,626
