"Drama","Episode","PreRating_1","PreRating_2","PreRating_3"
"真愛找麻煩",1,NA,NA,NA
"真愛找麻煩",2,NA,NA,NA
"真愛找麻煩",3,NA,NA,NA
"真愛找麻煩",4,1.23,1.22,1.07
"真愛找麻煩",5,1.18,1.23,1.22
"真愛找麻煩",6,1.35,1.18,1.23
"真愛找麻煩",7,1.37,1.35,1.18
"真愛找麻煩",8,1.39,1.37,1.35
"真愛找麻煩",9,1.59,1.39,1.37
"真愛找麻煩",10,1.41,1.59,1.39
"真愛找麻煩",11,1.42,1.41,1.59
"真愛找麻煩",12,1.47,1.42,1.41
"真愛找麻煩",13,1.59,1.47,1.42
"真愛找麻煩",14,1.46,1.59,1.47
"真愛找麻煩",15,1.44,1.46,1.59
"真愛找麻煩",16,1.78,1.44,1.46
"真愛找麻煩",17,1.72,1.78,1.44
"真愛找麻煩",18,1.94,1.72,1.78
"真愛找麻煩",19,1.82,1.94,1.72
"真愛找麻煩",20,1.65,1.82,1.94
"真愛找麻煩",21,1.84,1.65,1.82
"真愛找麻煩",22,1.57,1.84,1.65
"真愛找麻煩",23,1.98,1.57,1.84
"真愛找麻煩",24,2.18,1.98,1.57
"真愛找麻煩",25,1.9,2.18,1.98
"真愛找麻煩",26,2.27,1.9,2.18
"真愛找麻煩",27,2.28,2.27,1.9
"真愛找麻煩",28,2.04,2.28,2.27
"真愛找麻煩",29,2.48,2.04,2.28
"真愛找麻煩",30,2.08,2.48,2.04
"真愛找麻煩",31,1.55,2.08,2.48
"真愛找麻煩",32,2.14,1.55,2.08
"真愛找麻煩",33,2.12,2.14,1.55
"真愛找麻煩",34,1.82,2.12,2.14
"真愛找麻煩",35,2.9,1.82,2.12
"真愛找麻煩",36,2.83,2.9,1.82
"真愛找麻煩",37,2.77,2.83,2.9
"真愛找麻煩",38,2.96,2.77,2.83
"真愛找麻煩",39,3.32,2.96,2.77
"真愛找麻煩",40,2.7,3.32,2.96
"真愛找麻煩",41,3.18,2.7,3.32
"真愛找麻煩",42,3.23,3.18,2.7
"真愛找麻煩",43,2.76,3.23,3.18
"真愛找麻煩",44,2.94,2.76,3.23
"真愛找麻煩",45,2.97,2.94,2.76
"真愛找麻煩",46,3.06,2.97,2.94
"真愛找麻煩",47,2.79,3.06,2.97
"真愛找麻煩",48,2.53,2.79,3.06
"真愛找麻煩",49,2.35,2.53,2.79
"真愛找麻煩",50,2.55,2.35,2.53
"真愛找麻煩",51,2.81,2.55,2.35
"真愛找麻煩",52,2.81,2.81,2.55
"真愛找麻煩",53,2.92,2.81,2.81
"真愛找麻煩",54,2.9,2.92,2.81
"真愛找麻煩",55,3.12,2.9,2.92
"真愛找麻煩",56,3.62,3.12,2.9
"真愛找麻煩",57,2.95,3.62,3.12
