Drama,Episode,Ratings
真愛找麻煩,1,1.07
真愛找麻煩,2,1.22
真愛找麻煩,3,1.23
真愛找麻煩,4,1.18
真愛找麻煩,5,1.35
真愛找麻煩,6,1.37
真愛找麻煩,7,1.39
真愛找麻煩,8,1.59
真愛找麻煩,9,1.41
真愛找麻煩,10,1.42
真愛找麻煩,11,1.47
真愛找麻煩,12,1.59
真愛找麻煩,13,1.46
真愛找麻煩,14,1.44
真愛找麻煩,15,1.78
真愛找麻煩,16,1.72
真愛找麻煩,17,1.94
真愛找麻煩,18,1.82
真愛找麻煩,19,1.65
真愛找麻煩,20,1.84
真愛找麻煩,21,1.57
真愛找麻煩,22,1.98
真愛找麻煩,23,2.18
真愛找麻煩,24,1.9
真愛找麻煩,25,2.27
真愛找麻煩,26,2.28
真愛找麻煩,27,2.04
真愛找麻煩,28,2.48
真愛找麻煩,29,2.08
真愛找麻煩,30,1.55
真愛找麻煩,31,2.14
真愛找麻煩,32,2.12
真愛找麻煩,33,1.82
真愛找麻煩,34,2.9
真愛找麻煩,35,2.83
真愛找麻煩,36,2.77
真愛找麻煩,37,2.96
真愛找麻煩,38,3.32
真愛找麻煩,39,2.7
真愛找麻煩,40,3.18
真愛找麻煩,41,3.23
真愛找麻煩,42,2.76
真愛找麻煩,43,2.94
真愛找麻煩,44,2.97
真愛找麻煩,45,3.06
真愛找麻煩,46,2.79
真愛找麻煩,47,2.53
真愛找麻煩,48,2.35
真愛找麻煩,49,2.55
真愛找麻煩,50,2.81
真愛找麻煩,51,2.81
真愛找麻煩,52,2.92
真愛找麻煩,53,2.9
真愛找麻煩,54,3.12
真愛找麻煩,55,3.62
真愛找麻煩,56,2.95
真愛找麻煩,57,2.85
真愛找麻煩,58,3.06
真愛找麻煩,59,3.27
真愛找麻煩,60,3.41
真愛找麻煩,61,3.01
真愛找麻煩,62,3.13
真愛找麻煩,63,3.03
真愛找麻煩,64,3.32
真愛找麻煩,65,3.14
真愛找麻煩,66,3.27
真愛找麻煩,67,3.3
真愛找麻煩,68,2.97
真愛找麻煩,69,3.16
真愛找麻煩,70,2.91
真愛找麻煩,71,3.17
真愛找麻煩,72,2.83
真愛找麻煩,73,3.3
真愛找麻煩,74,3.09
真愛找麻煩,75,3.18
真愛找麻煩,76,2.79
真愛找麻煩,77,3.07
真愛找麻煩,78,3.09
真愛找麻煩,79,3.23
真愛找麻煩,80,3.15
真愛找麻煩,81,3.88
真愛找麻煩,82,3.65
真愛找麻煩,83,3.62
真愛找麻煩,84,4.16
剩女保鏢,1,1.74
剩女保鏢,2,1.84
剩女保鏢,3,2.04
剩女保鏢,4,1.51
剩女保鏢,5,1.94
剩女保鏢,6,1.82
剩女保鏢,7,1.53
剩女保鏢,8,2.11
剩女保鏢,9,1.73
剩女保鏢,10,1.89
剩女保鏢,11,1.65
剩女保鏢,12,1.63
剩女保鏢,13,2.11
剩女保鏢,14,2.01
剩女保鏢,15,2.2
剩女保鏢,16,1.82
剩女保鏢,17,2.09
剩女保鏢,18,2.18
剩女保鏢,19,1.85
剩女保鏢,20,2.13
剩女保鏢,21,2.23
剩女保鏢,22,1.99
剩女保鏢,23,1.85
剩女保鏢,24,1.93
剩女保鏢,25,1.93
剩女保鏢,26,1.94
剩女保鏢,27,2
剩女保鏢,28,2.01
剩女保鏢,29,1.81
剩女保鏢,30,2
剩女保鏢,31,1.92
剩女保鏢,32,2.01
剩女保鏢,33,2.19
剩女保鏢,34,2.12
剩女保鏢,35,1.76
剩女保鏢,36,2.17
剩女保鏢,37,2.11
剩女保鏢,38,2.02
剩女保鏢,39,1.6
剩女保鏢,40,1.86
剩女保鏢,41,2.05
剩女保鏢,42,1.8
剩女保鏢,43,1.85
剩女保鏢,44,1.54
剩女保鏢,45,1.95
剩女保鏢,46,1.87
剩女保鏢,47,1.93
剩女保鏢,48,1.7
剩女保鏢,49,1.62
剩女保鏢,50,1.73
剩女保鏢,51,1.81
剩女保鏢,52,2.07
剩女保鏢,53,2.05
剩女保鏢,54,1.98
剩女保鏢,55,2.14
剩女保鏢,56,2.17
剩女保鏢,57,2.13
剩女保鏢,58,2.07
剩女保鏢,59,1.96
剩女保鏢,60,2.11
剩女保鏢,61,2.03
剩女保鏢,62,2.04
剩女保鏢,63,2.08
剩女保鏢,64,1.53
剩女保鏢,65,1.87
剩女保鏢,66,1.91
剩女保鏢,67,2.12
剩女保鏢,68,2.09
剩女保鏢,69,2.08
剩女保鏢,70,2.07
剩女保鏢,71,2.08
剩女保鏢,72,2.17
剩女保鏢,73,2
剩女保鏢,74,2.06
剩女保鏢,75,1.85
剩女保鏢,76,2.03
剩女保鏢,77,1.76
剩女保鏢,78,1.91
剩女保鏢,79,1.75
剩女保鏢,80,1.5
剩女保鏢,81,1.75
剩女保鏢,82,2.68
愛上巧克力,1,1.79
愛上巧克力,2,1.37
愛上巧克力,3,1.38
愛上巧克力,4,1.37
愛上巧克力,5,1.7
愛上巧克力,6,1.49
愛上巧克力,7,1.6
愛上巧克力,8,1.64
愛上巧克力,9,1.47
愛上巧克力,10,1.93
愛上巧克力,11,1.52
愛上巧克力,12,1.63
愛上巧克力,13,1.92
愛上巧克力,14,1.63
愛上巧克力,15,1.51
愛上巧克力,16,1.77
愛上巧克力,17,1.74
愛上巧克力,18,1.54
愛上巧克力,19,1.74
愛上巧克力,20,1.53
愛上巧克力,21,1.67
愛上巧克力,22,1.93
愛上巧克力,23,1.87
愛上巧克力,24,1.59
愛上巧克力,25,1.65
愛上巧克力,26,1.83
愛上巧克力,27,1.92
愛上巧克力,28,1.91
愛上巧克力,29,1.68
愛上巧克力,30,1.76
愛上巧克力,31,2.02
愛上巧克力,32,1.77
愛上巧克力,33,1.57
愛上巧克力,34,1.77
愛上巧克力,35,1.92
愛上巧克力,36,1.96
愛上巧克力,37,2
愛上巧克力,38,2.15
愛上巧克力,39,1.64
愛上巧克力,40,1.69
愛上巧克力,41,1.9
愛上巧克力,42,1.7
愛上巧克力,43,1.88
愛上巧克力,44,1.71
愛上巧克力,45,2.2
愛上巧克力,46,
愛上巧克力,47,2.06
愛上巧克力,48,2.22
愛上巧克力,49,2.15
愛上巧克力,50,1.98
愛上巧克力,51,2.05
愛上巧克力,52,2.33
愛上巧克力,53,2.05
愛上巧克力,54,1.49
愛上巧克力,55,1.41
愛上巧克力,56,1.86
愛上巧克力,57,2.01
愛上巧克力,58,1.87
愛上巧克力,59,2.12
愛上巧克力,60,1.87
愛上巧克力,61,1.72
愛上巧克力,62,1.7
愛上巧克力,63,1.87
愛上巧克力,64,1.4
愛上巧克力,65,1.69
愛上巧克力,66,1.89
愛上巧克力,67,1.91
愛上巧克力,68,1.66
