Drama,Episode,Post_0,Like_0,Comment_0,Share_0,Post_1,Like_1,Comment_1,Share_1,Post_2,Like_2,Comment_2,Share_2,Post_3,Like_3,Comment_3,Share_3
小資女孩向前衝,1,43,1238,92,0,6,215,12,0,5,582,27,0,12,766,31,0
小資女孩向前衝,2,114,3336,300,0,9,880,36,0,14,1801,75,0,16,580,48,0
小資女孩向前衝,3,197,4655,391,0,14,106,18,0,8,471,22,0,7,1048,67,0
小資女孩向前衝,4,179,4837,397,0,16,82,21,0,17,1190,66,0,7,75,11,0
小資女孩向前衝,5,512,11387,863,15,56,660,79,0,18,981,60,17,18,1421,85,42
小資女孩向前衝,6,791,13687,876,26,37,410,51,0,30,2411,150,33,27,1723,88,12
小資女孩向前衝,7,486,12790,787,84,37,425,86,0,26,1640,69,13,19,2612,88,13
小資女孩向前衝,8,610,13787,941,32,25,165,28,0,40,1988,60,3,30,3409,131,58
小資女孩向前衝,9,701,16273,1024,62,33,316,39,0,61,10807,479,369,37,2977,169,20
小資女孩向前衝,10,1172,43984,2014,77,46,4809,168,73,22,1919,95,23,20,7860,313,225
小資女孩向前衝,11,1329,18131,1141,121,43,1448,57,0,35,3002,134,69,35,801,63,0
小資女孩向前衝,12,838,14209,783,77,55,1017,178,23,31,6038,284,181,33,809,117,11
小資女孩向前衝,13,901,11754,753,62,75,8124,291,85,40,4613,150,100,55,5795,211,107
小資女孩向前衝,14,1160,18540,1097,281,57,3364,177,12,28,2402,119,31,55,3280,251,52
小資女孩向前衝,15,1154,12896,820,64,46,797,94,0,56,3934,222,64,35,4324,215,76
小資女孩向前衝,16,1100,16643,812,122,28,485,71,16,38,7900,244,179,28,5252,190,121
小資女孩向前衝,17,1236,38305,1386,451,56,1310,140,0,33,9496,234,500,35,8953,220,96
小資女孩向前衝,18,1624,67202,2280,431,59,3015,339,0,41,5695,184,128,53,4295,169,30
小資女孩向前衝,19,1824,23461,1395,133,89,12795,554,174,48,9469,326,195,61,10916,400,107
小資女孩向前衝,20,2168,27334,1140,124,75,1526,185,0,97,14140,489,114,98,8652,545,191
小資女孩向前衝,21,2856,21913,1482,65,80,1457,205,0,65,20480,618,143,59,4091,226,23
小資女孩向前衝,22,2472,44336,2128,429,76,7207,367,254,81,13025,606,261,83,12128,540,392
小資女孩向前衝,23,1994,50497,1893,419,210,19505,478,196,68,18902,442,215,60,1748,209,0
小資女孩向前衝,24,2330,33755,1786,217,107,7640,280,28,117,13901,625,293,104,10773,395,215
小資女孩向前衝,25,3396,98451,2405,2076,142,12983,431,62,69,7557,261,147,131,14872,353,150
犀利人妻,1,10,111,13,0,0,0,0,0,2,58,6,0,0,0,0,0
犀利人妻,2,10,242,36,0,1,30,3,0,4,81,10,0,3,71,15,0
犀利人妻,3,15,538,23,0,6,421,47,2,6,158,32,0,13,222,36,0
犀利人妻,4,73,378,44,0,10,102,14,0,17,50,6,0,14,213,156,0
犀利人妻,5,58,379,61,0,9,143,43,0,8,349,62,0,16,293,29,0
犀利人妻,6,29,178,32,0,9,209,18,0,5,48,3,0,10,189,32,0
犀利人妻,7,12,786,64,1,7,314,60,0,5,57,10,0,5,146,13,0
犀利人妻,8,33,862,125,1,17,2331,235,4,4,264,54,0,8,179,28,0
犀利人妻,9,55,511,82,0,13,131,21,0,16,220,25,0,16,527,233,0
犀利人妻,10,55,728,109,0,4,288,75,0,12,472,124,0,16,2057,226,4
犀利人妻,11,54,451,71,0,14,1251,107,2,14,657,231,0,11,104,8,0
犀利人妻,12,128,1199,184,0,8,845,82,0,9,74,30,0,11,674,90,0
犀利人妻,13,352,2496,388,0,6,579,61,0,6,842,59,0,23,992,123,0
犀利人妻,14,662,4330,876,0,62,1752,214,0,60,1585,161,0,93,1951,197,0
犀利人妻,15,1592,10363,1300,0,211,5628,556,0,164,5034,415,0,175,4137,463,0
犀利人妻,16,2485,13402,1586,0,336,17493,894,0,201,5712,404,0,521,21781,874,0
犀利人妻,17,2545,17316,1729,0,176,4949,457,0,299,16354,1009,0,232,8835,609,0
犀利人妻,18,3468,22105,1521,0,187,1612,324,0,178,2810,418,0,236,12854,1005,0
犀利人妻,19,3206,26980,2252,0,152,14450,521,0,209,19401,1096,0,137,1821,284,0
犀利人妻,20,4100,21337,2074,0,100,4385,301,0,133,11669,521,0,162,10716,689,0
犀利人妻,21,2443,26182,1709,0,106,9310,391,0,104,9412,374,0,113,6117,509,0
犀利人妻,22,2932,30887,1892,0,87,3758,289,0,123,9232,553,0,103,1093,194,0
犀利人妻,23,5990,21290,2793,0,253,21616,1094,0,118,4668,289,0,165,5569,502,0
向前走向愛走,1,204,5973,259,182,4,1727,25,172,17,1688,21,70,8,2222,86,140
向前走向愛走,2,161,11613,544,221,20,2204,132,1,13,1293,17,1,22,2020,31,71
向前走向愛走,3,130,16524,372,189,21,5013,79,191,11,4185,70,144,44,5750,233,87
向前走向愛走,4,96,9561,210,28,15,2683,35,58,6,74,1,0,11,2601,26,53
向前走向愛走,5,60,6253,195,0,6,1174,21,0,12,4478,68,114,8,2806,104,42
向前走向愛走,6,43,4366,98,1,1,992,17,0,5,1556,54,32,10,1543,43,23
向前走向愛走,7,29,5702,109,68,1,974,15,22,2,1767,37,33,5,2153,80,15
向前走向愛走,8,26,2195,98,2,2,1598,19,0,10,4186,39,63,16,2769,79,14
向前走向愛走,9,44,5663,178,44,8,2594,40,0,13,4026,66,71,2,2515,37,27
向前走向愛走,10,55,7298,252,47,2,3312,54,128,3,4574,42,135,7,3162,50,11
向前走向愛走,11,56,5873,179,150,2,1350,28,0,9,1499,37,17,7,930,13,0
向前走向愛走,12,51,2426,122,0,6,909,13,0,3,2555,24,63,4,12,8,0
向前走向愛走,13,30,3219,84,2,0,0,0,0,1,307,2,0,6,1361,72,0
向前走向愛走,14,32,3477,109,0,3,1035,9,0,5,1039,12,0,6,601,32,19
向前走向愛走,15,26,1634,50,0,3,771,25,0,9,2846,22,72,5,629,20,2
向前走向愛走,16,40,1774,106,0,0,0,0,0,5,2651,42,54,1,224,2,1
向前走向愛走,17,98,38,19,0,2,3,9,0,7,334,7,1,6,1112,80,0
向前走向愛走,18,37,1109,89,0,5,20,4,0,3,1457,275,4,13,654,33,1
向前走向愛走,19,40,1335,83,0,1,512,14,0,2,206,10,0,9,1314,93,37
向前走向愛走,20,26,1771,93,0,2,33,3,0,5,2302,13,40,5,1652,92,40
向前走向愛走,21,37,3191,137,0,4,18,5,0,3,752,29,15,3,831,34,15
向前走向愛走,22,196,1609,126,0,2,0,2,0,2,17,4,0,4,28,5,0
螺絲小姐要出嫁,1,78,7600,313,56,14,722,7,3,26,3951,57,226,14,2501,40,90
螺絲小姐要出嫁,2,29,4098,73,77,0,0,0,0,5,1028,19,20,0,0,0,0
螺絲小姐要出嫁,3,59,14523,341,75,15,6066,76,62,0,0,0,0,6,1228,10,32
螺絲小姐要出嫁,4,46,6495,103,31,11,134,12,0,9,1561,33,48,8,1623,36,43
螺絲小姐要出嫁,5,52,8912,177,48,7,10,4,0,13,3131,32,50,8,2784,50,65
螺絲小姐要出嫁,6,70,6583,167,39,6,1581,21,22,13,2180,37,60,0,0,0,0
螺絲小姐要出嫁,7,84,9081,229,76,13,1262,21,7,17,8346,65,105,8,3333,52,82
螺絲小姐要出嫁,8,65,7097,188,17,12,136,4,3,6,1906,23,40,6,1870,39,47
螺絲小姐要出嫁,9,53,8056,160,38,7,109,4,5,8,2154,38,38,7,103,8,0
螺絲小姐要出嫁,10,70,4679,119,28,6,45,1,3,10,3119,24,2,7,3740,49,78
螺絲小姐要出嫁,11,115,17532,680,86,8,122,2,1,8,3642,41,57,1,2649,16,22
螺絲小姐要出嫁,12,106,18285,428,113,7,22,8,1,10,2454,52,42,7,1757,51,17
螺絲小姐要出嫁,13,82,11475,260,35,5,55,1,0,11,4468,62,71,11,1889,59,25
螺絲小姐要出嫁,14,94,21060,391,245,7,48,5,0,2,2,3,0,7,3042,46,42
螺絲小姐要出嫁,15,61,14818,281,97,10,50,9,2,6,6047,66,28,1,2727,34,23
螺絲小姐要出嫁,16,52,15675,347,77,7,57,10,0,6,2955,60,48,8,2267,27,21
螺絲小姐要出嫁,17,96,12284,290,42,7,88,9,0,5,2568,35,51,3,2642,47,47
螺絲小姐要出嫁,18,40,10253,209,36,6,118,1,0,5,2580,48,45,7,2143,24,20
螺絲小姐要出嫁,19,66,12450,323,89,8,129,7,1,10,120,14,3,10,6439,68,70
螺絲小姐要出嫁,20,77,14104,351,173,0,0,0,0,4,3163,43,36,8,261,14,5
螺絲小姐要出嫁,21,111,14522,2328,213,8,2434,23,20,2,4268,50,65,1,2074,21,27
螺絲小姐要出嫁,22,62,8734,234,58,7,104,10,0,11,2947,87,42,4,145,6,0
螺絲小姐要出嫁,23,69,18562,519,210,9,143,12,3,5,255,21,3,15,2877,57,45
國民英雄,1,18,171,12,0,3,204,20,0,10,316,30,0,7,352,25,0
國民英雄,2,26,184,37,0,10,267,23,0,7,722,55,0,4,202,20,0
國民英雄,3,5,37,10,0,1,19,2,0,5,371,27,0,4,204,17,0
國民英雄,4,0,0,0,0,3,36,7,0,4,297,13,0,1,197,20,0
國民英雄,5,6,22,2,0,5,36,5,0,3,465,12,0,0,0,0,0
國民英雄,6,1,0,2,0,0,0,0,0,1,213,3,0,2,356,22,0
國民英雄,7,3,14,1,0,1,187,14,0,2,389,32,0,1,128,6,0
國民英雄,8,6,18,23,0,3,21,6,0,7,464,41,0,6,172,23,0
國民英雄,9,8,67,27,0,1,3,3,0,6,659,53,0,4,5,4,0
國民英雄,10,8,67,42,0,0,0,0,0,0,0,0,0,1,252,17,0
國民英雄,11,4,34,7,0,2,42,9,0,3,304,30,0,0,0,0,0
國民英雄,12,7,69,16,0,2,19,5,0,3,285,17,1,1,8,3,0
國民英雄,13,11,46,1,0,0,0,0,0,2,245,17,0,1,5,2,0
國民英雄,14,12,60,16,0,2,8,3,0,2,541,26,0,0,0,0,0
國民英雄,15,8,60,12,0,3,9,2,0,0,0,0,0,0,0,0,0
國民英雄,16,9,97,10,0,6,51,7,0,2,438,39,0,6,324,17,0
國民英雄,17,11,74,27,0,3,12,7,0,4,488,52,0,0,0,0,0
國民英雄,18,24,99,20,0,4,25,8,0,6,475,44,0,0,0,0,0
國民英雄,19,82,354,119,0,8,67,16,0,12,633,81,0,4,659,74,0
金大花的華麗冒險,1,23,2031,86,7,3,464,3,17,7,1143,214,15,3,1,0,0
金大花的華麗冒險,2,50,5777,1435,73,10,1108,18,3,10,2088,30,5,9,1313,41,26
金大花的華麗冒險,3,43,4923,1688,88,6,402,7,3,5,523,14,5,7,1557,44,43
金大花的華麗冒險,4,20,8434,194,9,3,669,4,2,8,1520,26,5,3,1074,2,4
金大花的華麗冒險,5,24,5861,148,24,4,2,0,0,3,1294,18,2,5,1916,37,4
金大花的華麗冒險,6,11,5030,75,28,1,1792,12,3,2,1690,18,23,4,4725,27,34
金大花的華麗冒險,7,22,6545,104,57,4,4526,39,29,3,631,2,1,1,1045,8,2
金大花的華麗冒險,8,19,13319,181,20,3,3,1,0,4,3076,34,3,5,10,2,0
金大花的華麗冒險,9,17,7469,136,4,1,901,9,0,6,1052,8,14,4,3895,54,14
金大花的華麗冒險,10,32,8971,187,4,3,761,3,0,6,3500,58,29,4,1097,34,11
金大花的華麗冒險,11,60,6868,188,16,6,1168,18,1,7,3088,39,26,3,1082,29,3
金大花的華麗冒險,12,48,8953,233,4,7,1861,76,12,3,3237,45,13,8,2509,61,4
金大花的華麗冒險,13,45,18857,663,158,6,57,7,0,4,1143,77,17,11,6083,99,14
金大花的華麗冒險,14,51,5441,231,52,11,4187,40,12,7,4116,45,37,9,3869,85,11
金大花的華麗冒險,15,38,8112,227,34,8,85,17,1,6,2668,83,19,11,1469,80,13
金大花的華麗冒險,16,34,6196,209,86,3,952,2,3,8,3514,82,27,3,1509,58,12
金大花的華麗冒險,17,44,8297,863,63,17,20,2,0,27,4184,777,64,6,2600,89,17
金大花的華麗冒險,18,65,15628,1053,128,14,1985,472,91,22,7676,259,28,7,4126,146,12
金大花的華麗冒險,19,55,14103,366,38,6,14,1,0,9,2954,61,17,10,9878,115,11
