Drama,Episode,Drama_0,MaleMain_0,FemaleMain_0,Drama_1,MaleMain_1,FemaleMain_1,Drama_2,MaleMain_2,FemaleMain_2,Drama_3,MaleMain_3,FemaleMain_3
小資女孩向前衝,1,25,37,29,0,8,13,0,8,20,0,6,6
小資女孩向前衝,2,66,67,61,20,21,20,8,19,9,9,8,8
小資女孩向前衝,3,52,53,50,25,29,29,10,10,11,13,11,13
小資女孩向前衝,4,36,41,42,29,33,30,9,9,10,13,12,13
小資女孩向前衝,5,59,65,63,29,30,33,12,15,15,13,13,16
小資女孩向前衝,6,50,51,53,22,20,26,15,14,15,9,7,11
小資女孩向前衝,7,41,47,47,20,25,23,16,18,18,16,16,17
小資女孩向前衝,8,50,55,57,29,26,26,14,15,15,17,17,18
小資女孩向前衝,9,50,48,54,32,28,33,18,20,21,12,16,17
小資女孩向前衝,10,56,61,60,31,28,35,16,16,17,14,13,18
小資女孩向前衝,11,58,55,63,26,34,32,18,18,20,18,21,19
小資女孩向前衝,12,62,74,65,27,32,31,21,21,32,19,22,29
小資女孩向前衝,13,52,63,60,30,32,34,21,27,25,15,22,17
小資女孩向前衝,14,83,86,86,45,44,44,34,32,35,31,33,37
小資女孩向前衝,15,48,50,48,35,34,39,20,20,20,23,24,27
小資女孩向前衝,16,45,46,45,27,29,31,20,23,23,16,22,19
小資女孩向前衝,17,43,45,44,26,27,28,18,17,17,20,25,22
小資女孩向前衝,18,53,50,52,30,33,34,19,23,20,18,20,20
小資女孩向前衝,19,56,59,50,21,21,33,18,19,24,14,13,13
小資女孩向前衝,20,55,53,56,26,27,24,19,21,23,19,25,23
小資女孩向前衝,21,68,79,68,21,29,25,15,18,18,13,17,15
小資女孩向前衝,22,55,61,58,25,29,27,18,22,21,20,24,23
小資女孩向前衝,23,66,72,63,36,35,32,19,21,20,14,20,17
小資女孩向前衝,24,54,59,56,20,21,28,18,24,21,17,22,18
小資女孩向前衝,25,61,67,56,19,19,19,15,15,16,13,14,13
犀利人妻,1,6,7,8,2,1,3,0,0,2,0,0,4
犀利人妻,2,4,3,5,2,1,2,2,2,2,3,3,4
犀利人妻,3,4,5,6,1,3,2,2,2,2,3,3,4
犀利人妻,4,6,6,7,4,4,4,2,2,4,3,3,3
犀利人妻,5,5,5,6,2,1,2,3,3,3,4,4,4
犀利人妻,6,12,13,13,3,3,5,3,3,3,3,3,4
犀利人妻,7,8,7,8,9,10,10,5,5,6,7,6,6
犀利人妻,8,12,11,11,5,5,5,3,3,4,5,5,5
犀利人妻,9,7,8,7,3,3,4,3,4,3,4,5,5
犀利人妻,10,10,9,9,4,4,4,2,3,3,5,5,5
犀利人妻,11,5,5,6,4,4,4,3,4,4,3,4,3
犀利人妻,12,8,8,8,3,4,4,4,4,5,5,5,5
犀利人妻,13,13,12,12,4,4,4,2,2,2,4,3,4
犀利人妻,14,19,19,19,6,6,6,9,9,8,10,10,10
犀利人妻,15,44,45,42,15,15,15,15,16,17,20,19,19
犀利人妻,16,42,43,41,17,18,18,16,18,18,21,22,22
犀利人妻,17,55,55,55,20,21,21,23,24,24,24,26,24
犀利人妻,18,46,45,46,19,21,21,18,19,18,21,23,23
犀利人妻,19,42,45,44,15,15,17,16,16,16,18,18,19
犀利人妻,20,41,41,42,18,19,20,16,18,19,20,23,21
犀利人妻,21,35,38,35,18,17,17,13,13,13,18,18,18
犀利人妻,22,38,41,39,16,18,19,16,19,18,18,19,19
犀利人妻,23,97,97,97,22,24,25,21,21,24,20,21,21
向前走向愛走,1,54,51,68,32,30,15,9,8,23,9,8,13
向前走向愛走,2,57,62,53,29,23,41,13,11,22,9,10,18
向前走向愛走,3,81,68,79,28,32,37,9,10,17,23,26,25
向前走向愛走,4,67,69,100,32,34,35,12,24,15,14,21,15
向前走向愛走,5,69,67,75,38,29,34,12,14,17,21,19,19
向前走向愛走,6,61,50,63,30,24,36,14,19,20,12,9,13
向前走向愛走,7,56,55,57,30,27,39,16,14,18,21,21,23
向前走向愛走,8,61,47,59,38,35,37,17,18,24,19,17,20
向前走向愛走,9,57,58,54,25,26,30,24,20,28,18,15,21
向前走向愛走,10,61,56,59,27,23,27,20,19,24,21,17,24
向前走向愛走,11,81,76,89,30,27,27,16,15,20,24,22,22
向前走向愛走,12,55,47,51,28,26,33,14,14,22,20,18,28
向前走向愛走,13,56,44,49,25,31,30,15,13,20,22,21,22
向前走向愛走,14,69,67,60,30,26,33,24,19,24,17,14,19
向前走向愛走,15,56,49,55,28,27,31,14,13,20,12,13,20
向前走向愛走,16,42,34,41,27,23,31,18,13,22,16,15,21
向前走向愛走,17,50,48,50,24,22,23,16,15,21,15,15,20
向前走向愛走,18,48,41,46,28,31,31,17,18,22,14,9,37
向前走向愛走,19,65,65,63,24,23,24,16,13,20,17,17,25
向前走向愛走,20,57,57,61,26,22,26,15,14,21,12,16,20
向前走向愛走,21,73,70,69,29,30,37,21,20,34,17,12,35
向前走向愛走,22,99,100,98,32,29,39,17,17,26,20,20,43
螺絲小姐要出嫁,1,54,55,51,17,21,11,16,18,11,14,9,4
螺絲小姐要出嫁,2,69,69,63,41,41,36,12,13,11,15,15,11
螺絲小姐要出嫁,3,75,72,61,27,27,22,14,16,14,18,19,14
螺絲小姐要出嫁,4,100,98,100,46,52,38,19,20,18,16,17,14
螺絲小姐要出嫁,5,87,100,80,36,42,40,21,24,19,22,26,17
螺絲小姐要出嫁,6,77,81,67,45,46,35,25,23,21,18,21,19
螺絲小姐要出嫁,7,91,91,84,36,42,41,13,14,13,19,18,15
螺絲小姐要出嫁,8,71,79,61,37,32,29,14,16,15,12,19,10
螺絲小姐要出嫁,9,74,68,57,46,52,40,18,20,15,20,23,16
螺絲小姐要出嫁,10,61,58,48,30,30,25,23,22,18,19,21,14
螺絲小姐要出嫁,11,74,75,60,34,33,30,15,18,10,20,21,15
螺絲小姐要出嫁,12,65,74,53,43,42,34,20,21,18,25,24,19
螺絲小姐要出嫁,13,72,82,60,36,37,30,23,24,17,21,19,15
螺絲小姐要出嫁,14,69,71,51,38,43,34,22,24,15,23,24,19
螺絲小姐要出嫁,15,65,66,54,31,29,30,23,24,19,24,22,20
螺絲小姐要出嫁,16,54,51,44,36,33,30,21,22,19,15,15,13
螺絲小姐要出嫁,17,49,49,37,24,26,22,14,15,10,20,22,15
螺絲小姐要出嫁,18,44,49,35,23,23,17,19,20,15,18,14,11
螺絲小姐要出嫁,19,48,46,37,29,30,26,16,19,15,17,21,13
螺絲小姐要出嫁,20,40,40,35,32,29,27,19,16,12,21,18,14
螺絲小姐要出嫁,21,41,38,29,19,25,18,15,14,11,12,16,13
螺絲小姐要出嫁,22,46,40,33,15,20,15,13,16,14,15,16,14
螺絲小姐要出嫁,23,59,65,51,28,22,18,23,20,14,19,20,14
國民英雄,1,100,100,64,26,33,100,12,29,25,11,25,10
國民英雄,2,59,66,32,32,39,36,25,26,11,24,27,10
國民英雄,3,57,64,31,24,33,13,22,32,9,21,30,8
國民英雄,4,39,42,17,28,36,11,28,31,10,27,29,10
國民英雄,5,35,40,19,28,35,18,31,31,9,29,26,9
國民英雄,6,26,30,13,18,27,9,17,25,7,16,24,7
國民英雄,7,22,27,16,21,26,9,21,25,7,20,25,6
國民英雄,8,2,23,8,2,20,7,2,19,6,2,18,6
國民英雄,9,4,23,13,4,22,7,4,21,6,5,21,6
國民英雄,10,20,31,10,6,11,9,6,11,8,6,11,6
國民英雄,11,22,26,13,21,26,11,20,24,6,18,22,10
國民英雄,12,24,26,10,20,25,14,16,25,8,14,25,6
國民英雄,13,9,24,9,7,23,8,6,22,7,6,22,7
國民英雄,14,18,28,15,17,25,12,14,25,7,15,24,7
