Drama,Episode,PostPositive_0,PostNegative_0,CommentPositive_0,CommentNegative_0,PostPositive_1,PostNegative_1,CommentPositive_1,CommentNegative_1,PostPositive_2,PostNegative_2,CommentPositive_2,CommentNegative_2,PostPositive_3,PostNegative_3,CommentPositive_3,CommentNegative_3
小資女孩向前衝,1,10,5,4,2,4,1,8,1,21,3,33,22,11,6,9,8
小資女孩向前衝,2,13,7,21,0,11,4,78,23,28,4,41,14,27,4,27,8
小資女孩向前衝,3,19,3,19,2,10,1,11,10,11,3,61,19,79,16,76,25
小資女孩向前衝,4,21,1,66,12,31,1,60,18,9,1,5,10,12,2,55,43
小資女孩向前衝,5,83,12,88,19,31,8,69,24,21,3,84,26,30,8,72,19
小資女孩向前衝,6,84,16,75,17,48,12,114,54,44,4,123,22,68,22,119,46
小資女孩向前衝,7,59,15,146,67,54,21,82,50,17,8,39,31,50,15,121,47
小資女孩向前衝,8,30,10,26,12,91,41,47,23,57,27,192,21,49,26,73,27
小資女孩向前衝,9,71,18,142,104,96,16,516,123,96,53,162,88,75,41,162,94
小資女孩向前衝,10,64,26,169,69,40,16,172,79,28,16,246,69,63,10,103,31
小資女孩向前衝,11,37,9,64,20,40,11,133,57,98,37,129,80,90,35,181,95
小資女孩向前衝,12,43,20,267,137,66,22,242,96,77,51,153,66,152,59,231,80
小資女孩向前衝,13,120,27,191,96,71,27,247,110,98,46,214,100,76,28,228,103
小資女孩向前衝,14,76,37,186,89,88,29,169,80,105,56,367,227,199,105,619,372
小資女孩向前衝,15,109,37,182,79,135,69,334,150,92,28,444,189,92,38,279,133
小資女孩向前衝,16,60,27,118,71,86,59,332,238,40,17,324,181,189,93,744,317
小資女孩向前衝,17,157,60,296,166,72,41,314,139,89,22,283,133,83,25,225,128
小資女孩向前衝,18,80,26,406,141,107,52,248,95,153,63,290,93,192,115,572,272
小資女孩向前衝,19,207,84,649,208,128,66,409,258,131,39,538,164,180,82,666,401
小資女孩向前衝,20,166,61,399,216,302,142,821,445,373,216,1406,1040,170,107,734,400
小資女孩向前衝,21,186,157,316,256,293,163,1013,588,252,138,563,343,388,272,1123,825
小資女孩向前衝,22,182,92,587,313,338,181,1182,573,299,149,1254,615,412,184,1369,567
小資女孩向前衝,23,321,100,494,143,150,60,585,174,132,83,404,158,88,25,256,112
小資女孩向前衝,24,169,83,352,180,341,146,889,466,254,97,910,418,422,167,808,367
小資女孩向前衝,25,309,154,551,235,200,62,553,174,407,157,534,181,272,116,545,234
犀利人妻,1,0,0,0,0,5,0,0,0,4,0,4,2,0,0,0,0
犀利人妻,2,0,0,0,0,3,1,4,1,17,1,25,4,29,11,22,13
犀利人妻,3,0,0,0,0,48,30,74,40,19,17,99,82,35,25,37,19
犀利人妻,4,68,45,83,113,36,16,29,16,61,24,63,43,31,8,244,144
犀利人妻,5,180,168,102,133,37,28,46,42,24,16,79,56,82,42,39,23
犀利人妻,6,116,123,70,116,16,12,37,22,10,7,77,48,44,25,34,17
犀利人妻,7,83,67,135,176,43,34,82,76,17,10,14,22,21,22,48,13
犀利人妻,8,69,51,235,133,56,22,150,124,6,8,71,54,40,36,43,31
犀利人妻,9,23,17,135,82,16,10,12,13,16,9,29,12,27,13,103,53
犀利人妻,10,81,101,184,331,17,8,106,95,37,23,128,134,52,25,207,151
犀利人妻,11,82,102,210,206,18,7,138,90,20,23,179,125,43,16,42,50
犀利人妻,12,98,86,236,292,22,22,133,142,23,20,56,42,25,22,125,92
犀利人妻,13,150,149,318,445,10,12,129,77,28,18,140,106,47,43,310,323
犀利人妻,14,388,558,598,844,168,138,325,360,116,77,287,262,201,178,422,320
犀利人妻,15,805,953,1406,1843,440,390,757,608,428,320,761,525,447,346,734,552
犀利人妻,16,2124,1933,2807,2996,627,478,1391,979,452,281,694,481,975,597,1465,819
犀利人妻,17,2050,2223,2900,3393,471,308,891,642,699,515,1818,1191,541,401,1279,841
犀利人妻,18,2337,1548,3002,2795,515,324,817,553,525,348,1040,766,674,393,1947,1418
犀利人妻,19,2341,1865,2838,2673,335,253,926,601,437,340,1642,1294,340,256,499,364
犀利人妻,20,1818,2031,2241,2492,214,154,536,307,237,185,750,487,391,311,1230,875
