Drama,Episode,Ratings
國民英雄,1,1.5
國民英雄,2,1.45
國民英雄,3,1.37
國民英雄,4,1.06
國民英雄,5,1.16
國民英雄,6,1.24
國民英雄,7,1.02
國民英雄,8,1.13
國民英雄,9,1.31
國民英雄,10,1.18
國民英雄,11,1.04
國民英雄,12,1.11
國民英雄,13,0.95
國民英雄,14,0.95
國民英雄,15,0.81
國民英雄,16,0.84
國民英雄,17,0.72
國民英雄,18,1.01
國民英雄,19,1.14
小資女孩向前衝,1,2.78
小資女孩向前衝,2,3.44
小資女孩向前衝,3,3.48
小資女孩向前衝,4,3.72
小資女孩向前衝,5,4.16
小資女孩向前衝,6,4.54
小資女孩向前衝,7,4.4
小資女孩向前衝,8,4.68
小資女孩向前衝,9,5.17
小資女孩向前衝,10,4.89
小資女孩向前衝,11,5.35
小資女孩向前衝,12,5.97
小資女孩向前衝,13,5.56
小資女孩向前衝,14,5.35
小資女孩向前衝,15,5.05
小資女孩向前衝,16,5.37
小資女孩向前衝,17,4.66
小資女孩向前衝,18,5.78
小資女孩向前衝,19,5.28
小資女孩向前衝,20,5.87
小資女孩向前衝,21,5.49
小資女孩向前衝,22,6.5
小資女孩向前衝,23,6.74
小資女孩向前衝,24,6.48
小資女孩向前衝,25,7.33
犀利人妻,1,1.07
犀利人妻,2,1.02
犀利人妻,3,0.91
犀利人妻,4,0.96
犀利人妻,5,0.96
犀利人妻,6,1.11
犀利人妻,7,1.33
犀利人妻,8,1.46
犀利人妻,9,1.44
犀利人妻,10,1.47
犀利人妻,11,1.54
犀利人妻,12,1.81
犀利人妻,13,1.93
犀利人妻,14,2.43
犀利人妻,15,3.12
犀利人妻,16,4.57
犀利人妻,17,6.31
犀利人妻,18,7.11
犀利人妻,19,6.87
犀利人妻,20,7.28
犀利人妻,21,6.62
犀利人妻,22,6.43
犀利人妻,23,9.45
向前走向愛走,1,2.5
向前走向愛走,2,2.48
向前走向愛走,3,2.4
向前走向愛走,4,2.39
向前走向愛走,5,2.58
向前走向愛走,6,2.18
向前走向愛走,7,2.49
向前走向愛走,8,2.67
向前走向愛走,9,2.49
向前走向愛走,10,2.23
向前走向愛走,11,2.5
向前走向愛走,12,2.37
向前走向愛走,13,2.28
向前走向愛走,14,2.45
向前走向愛走,15,2.24
向前走向愛走,16,2.38
向前走向愛走,17,2.45
向前走向愛走,18,1.97
向前走向愛走,19,2.08
向前走向愛走,20,2.25
向前走向愛走,21,2.3
向前走向愛走,22,2.42
螺絲小姐要出嫁,1,2.37
螺絲小姐要出嫁,2,2.76
螺絲小姐要出嫁,3,3.37
螺絲小姐要出嫁,4,3.22
螺絲小姐要出嫁,5,4.35
螺絲小姐要出嫁,6,3.83
螺絲小姐要出嫁,7,3.96
螺絲小姐要出嫁,8,3.73
螺絲小姐要出嫁,9,3.7
螺絲小姐要出嫁,10,3.35
螺絲小姐要出嫁,11,3.82
螺絲小姐要出嫁,12,3.72
螺絲小姐要出嫁,13,4.19
螺絲小姐要出嫁,14,4.04
螺絲小姐要出嫁,15,3.95
螺絲小姐要出嫁,16,3.5
螺絲小姐要出嫁,17,3.13
螺絲小姐要出嫁,18,3.35
螺絲小姐要出嫁,19,3.28
螺絲小姐要出嫁,20,2.9
螺絲小姐要出嫁,21,2.61
螺絲小姐要出嫁,22,2.61
螺絲小姐要出嫁,23,4.18
金大花的華麗冒險,1,1.29
金大花的華麗冒險,2,1.46
金大花的華麗冒險,3,1.84
金大花的華麗冒險,4,1.54
金大花的華麗冒險,5,2.14
金大花的華麗冒險,6,1.68
金大花的華麗冒險,7,1.37
金大花的華麗冒險,8,1.44
金大花的華麗冒險,9,1.42
金大花的華麗冒險,10,1.37
金大花的華麗冒險,11,1.45
金大花的華麗冒險,12,1.64
金大花的華麗冒險,13,1.56
金大花的華麗冒險,14,1.36
金大花的華麗冒險,15,1.43
金大花的華麗冒險,16,1.91
金大花的華麗冒險,17,1.43
金大花的華麗冒險,18,1.7
金大花的華麗冒險,19,1.48
金大花的華麗冒險,20,1.43
金大花的華麗冒險,21,2
我租了一個情人,1,0.51
我租了一個情人,2,0.57
我租了一個情人,3,0.32
我租了一個情人,4,0.43
我租了一個情人,5,0.43
我租了一個情人,6,0.33
我租了一個情人,7,0.27
我租了一個情人,8,0.33
我租了一個情人,9,0.34
我租了一個情人,10,0.38
我租了一個情人,11,0.45
我租了一個情人,12,0.38
我租了一個情人,13,0.44
我租了一個情人,14,NA
我租了一個情人,15,0.38
我租了一個情人,16,0.42
真愛黑白配,1,1.86
真愛黑白配,2,2.16
真愛黑白配,3,2.33
真愛黑白配,4,2.48
真愛黑白配,5,2.47
真愛黑白配,6,2.52
真愛黑白配,7,2.22
真愛黑白配,8,2.4
真愛黑白配,9,2.56
真愛黑白配,10,2.07
真愛黑白配,11,2.55
真愛黑白配,12,2.55
真愛黑白配,13,1.99
真愛黑白配,14,1.84
真愛黑白配,15,2.02
真愛黑白配,16,2.08
真愛黑白配,17,1.75
真愛黑白配,18,1.96
真愛黑白配,19,1.58
真愛黑白配,20,1.89
真愛黑白配,21,2.16
大紅帽與小野狼,1,0.31
大紅帽與小野狼,2,0.26
大紅帽與小野狼,3,0.3
大紅帽與小野狼,4,0.23
大紅帽與小野狼,5,0.19
大紅帽與小野狼,6,0.38
大紅帽與小野狼,7,0.26
大紅帽與小野狼,8,0.23
大紅帽與小野狼,9,0.17
大紅帽與小野狼,10,0.16
大紅帽與小野狼,11,0.21
大紅帽與小野狼,12,0.12
大紅帽與小野狼,13,0.12
大紅帽與小野狼,14,0.11
大紅帽與小野狼,15,0.12
大紅帽與小野狼,16,0.12

