@relation auto-mpg1-weka.filters.unsupervised.attribute.Remove-R6

@attribute cyl numeric
@attribute disp numeric
@attribute horse numeric
@attribute weight numeric
@attribute accel numeric
@attribute orig numeric
@attribute mpg numeric

@data
%
8,307,130,3504,12,1,18
8,350,165,3693,11.5,1,15
8,318,150,3436,11,1,18
8,304,150,3433,12,1,16
8,302,140,3449,10.5,1,17
8,429,198,4341,10,1,15
8,454,220,4354,9,1,14
8,440,215,4312,8.5,1,14
8,455,225,4425,10,1,14
8,390,190,3850,8.5,1,15
8,383,170,3563,10,1,15
8,340,160,3609,8,1,14
8,400,150,3761,9.5,1,15
8,455,225,3086,10,1,14
4,113,95,2372,15,3,24
6,198,95,2833,15.5,1,22
6,199,97,2774,15.5,1,18
6,200,85,2587,16,1,21
4,97,88,2130,14.5,3,27
4,97,46,1835,20.5,2,26
4,110,87,2672,17.5,2,25
4,107,90,2430,14.5,2,24
4,104,95,2375,17.5,2,25
4,121,113,2234,12.5,2,26
6,199,90,2648,15,1,21
8,360,215,4615,14,1,10
8,307,200,4376,15,1,10
8,318,210,4382,13.5,1,11
8,304,193,4732,18.5,1,9
4,97,88,2130,14.5,3,27
4,140,90,2264,15.5,1,28
4,113,95,2228,14,3,25
4,98,?,2046,19,1,25
6,232,100,2634,13,1,19
6,225,105,3439,15.5,1,16
6,250,100,3329,15.5,1,17
6,250,88,3302,15.5,1,19
6,232,100,3288,15.5,1,18
8,350,165,4209,12,1,14
8,400,175,4464,11.5,1,14
8,351,153,4154,13.5,1,14
8,318,150,4096,13,1,14
8,383,180,4955,11.5,1,12
8,400,170,4746,12,1,13
8,400,175,5140,12,1,13
6,258,110,2962,13.5,1,18
4,140,72,2408,19,1,22
6,250,100,3282,15,1,19
6,250,88,3139,14.5,1,18
4,122,86,2220,14,1,23
4,116,90,2123,14,2,28
4,79,70,2074,19.5,2,30
4,88,76,2065,14.5,2,30
4,71,65,1773,19,3,31
4,72,69,1613,18,3,35
4,97,60,1834,19,2,27
4,91,70,1955,20.5,1,26
4,113,95,2278,15.5,3,24
4,97.5,80,2126,17,1,25
4,97,54,2254,23.5,2,23
4,140,90,2408,19.5,1,20
4,122,86,2226,16.5,1,21
8,350,165,4274,12,1,13
8,400,175,4385,12,1,14
8,318,150,4135,13.5,1,15
8,351,153,4129,13,1,14
8,304,150,3672,11.5,1,17
8,429,208,4633,11,1,11
8,350,155,4502,13.5,1,13
8,350,160,4456,13.5,1,12
8,400,190,4422,12.5,1,13
3,70,97,2330,13.5,3,19
8,304,150,3892,12.5,1,15
8,307,130,4098,14,1,13
8,302,140,4294,16,1,13
8,318,150,4077,14,1,14
4,121,112,2933,14.5,2,18
4,121,76,2511,18,2,22
4,120,87,2979,19.5,2,21
4,96,69,2189,18,2,26
4,122,86,2395,16,1,22
4,97,92,2288,17,3,28
4,120,97,2506,14.5,3,23
4,98,80,2164,15,1,28
4,97,88,2100,16.5,3,27
8,350,175,4100,13,1,13
8,304,150,3672,11.5,1,14
8,350,145,3988,13,1,13
8,302,137,4042,14.5,1,14
8,318,150,3777,12.5,1,15
8,429,198,4952,11.5,1,12
8,400,150,4464,12,1,13
8,351,158,4363,13,1,13
8,318,150,4237,14.5,1,14
8,440,215,4735,11,1,13
8,455,225,4951,11,1,12
8,360,175,3821,11,1,13
6,225,105,3121,16.5,1,18
6,250,100,3278,18,1,16
6,232,100,2945,16,1,18
6,250,88,3021,16.5,1,18
6,198,95,2904,16,1,23
4,97,46,1950,21,2,26
8,400,150,4997,14,1,11
8,400,167,4906,12.5,1,12
8,360,170,4654,13,1,13
8,350,180,4499,12.5,1,12
6,232,100,2789,15,1,18
4,97,88,2279,19,3,20
4,140,72,2401,19.5,1,21
4,108,94,2379,16.5,3,22
3,70,90,2124,13.5,3,18
4,122,85,2310,18.5,1,19
6,155,107,2472,14,1,21
4,98,90,2265,15.5,2,26
8,350,145,4082,13,1,15
8,400,230,4278,9.5,1,16
4,68,49,1867,19.5,2,29
4,116,75,2158,15.5,2,24
4,114,91,2582,14,2,20
4,121,112,2868,15.5,2,19
8,318,150,3399,11,1,15
4,121,110,2660,14,2,24
6,156,122,2807,13.5,3,20
8,350,180,3664,11,1,11
6,198,95,3102,16.5,1,20
6,200,?,2875,17,1,21
6,232,100,2901,16,1,19
6,250,100,3336,17,1,15
4,79,67,1950,19,3,31
4,122,80,2451,16.5,1,26
4,71,65,1836,21,3,32
4,140,75,2542,17,1,25
