@relation Concrete_Data3-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' b' numeric
@attribute ' c' numeric
@attribute ' d' numeric
@attribute ' e' numeric
@attribute ' f' numeric
@attribute ' g' numeric
@attribute ' h' numeric
@attribute ' i' numeric

@data
%
0,128,182,11,870,780,28,37.26
164.2,0,190.5,4.6,870,774,28,57.22
0,127.9,182.5,11.5,870.1,779.7,28,37.27
0,0,203,0,974,800,14,20.77
0,0,203,0,974,800,28,25.18
0,0,203,0,974,800,180,29.59
149,0,186,8,951,709,28,52.42
0,116,196,10,818,813,28,31.18
0,115.6,196,10.4,817.9,813.4,28,31.18
148.6,0,185.8,8.5,951,709.5,28,52.43
282.8,0,183.8,10.3,942.7,659.9,3,28.3
282.8,0,183.8,10.3,942.7,659.9,7,49.8
282.8,0,183.8,10.3,942.7,659.9,28,74.7
282.8,0,183.8,10.3,942.7,659.9,56,80.2
0,0,184,0,1063,783,7,17.54
0,0,184,0,1063,783,28,30.57
166.4,0,174,8.9,881.6,790,28,61.24
166,0,174,9,882,790,28,61.23
0,138,199,11,801,792,28,40.68
0,137.9,199,10.8,801.1,792.5,28,38.63
169.6,0,194.9,8.1,811,802.3,28,56.62
0,0,192,0,1025,821,3,14.31
0,0,192,0,1025,821,7,17.44
0,0,192,0,1025,821,28,31.74
0,0,192,0,1025,821,90,37.91
0,0,192,0,1025,821,120,39.38
0,0,192,0,978,825,180,39
0,0,192,0,978,825,360,41.24
0,0,192,0,978,825,3,13.52
0,0,192,0,879,825,3,13.52
0,0,192,0,978,825,7,16.26
0,0,192,0,978,825,28,31.45
0,0,192,0,978,825,90,37.23
170,0,195,8,811,802,28,56.61
142.5,0,228,0,932,594,270,40.27
142.5,0,228,0,932,594,365,41.05
142.5,0,228,0,932,594,90,37.72
142.5,0,228,0,932,594,180,39.78
142.5,0,228,0,932,594,28,33.02
142.5,0,228,0,932,594,7,30.28
17.5,163,167,17.9,996,652,28,47.28
0,0,192,0,931.2,842.6,3,15.62
0,0,192,0,931.2,842.6,28,31.97
0,0,192,0,931.2,842.6,7,23.4
0,0,192,0,931.2,842.6,90,41.68
17.6,158,189,15.3,967,633,28,44.33
0,0,182,3,986,817,28,44.86
0,0,181.9,3.4,985.8,816.8,28,44.87
189,0,174.9,9.5,944.7,755.8,3,24.1
189,0,174.9,9.5,944.7,755.8,7,35.1
189,0,174.9,9.5,944.7,755.8,28,49.9
189,0,174.9,9.5,944.7,755.8,56,59.89
189,0,174.9,9.5,944.7,755.8,91,67.8
0,0,197,0,968,781,3,13.22
0,0,197,0,968,781,7,20.97
0,0,197,0,968,781,14,27.04
0,0,197,0,968,781,28,32.04
0,0,197,0,968,781,90,35.17
0,0,197,0,968,781,180,36.45
0,0,197,0,968,781,365,38.89
0,0,185,0,1069,754,7,21.16
0,0,185,0,1069,754,28,31.84
0,0,185,0,1060,754,28,31.65
0,0,185.7,0,1069.2,754.3,7,21.18
0,0,185.7,0,1069.2,754.3,28,31.9
38,0,228,0,932,670,365,56.14
38,0,228,0,932,670,180,52.12
38,0,228,0,932,670,90,50.46
38,0,228,0,932,670,270,55.06
0,0,192,0,1047,806.9,3,15.05
0,0,192,0,1056,809,3,15.87
0,0,192,0,1056,809,7,9.01
0,0,192,0,1056,809,28,33.61
0,0,192,0,1056,809,90,40.66
0,0,192,0,1056,809,120,40.86
0,0,192,0,1047,806,3,14.99
0,0,192,0,1047,806,7,18.13
0,0,192,0,1047,806,28,32.72
0,0,192,0,1047,806,90,39.49
0,0,192,0,1047,806,180,41.05
