@relation housing_data3-weka.filters.unsupervised.attribute.Remove-R5

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric

@data
%
14.0507,0,18.1,0,6.657,100,1.5275,24,666,20.2,35.05,21.22,17.2
18.811,0,18.1,0,4.628,100,1.5539,24,666,20.2,28.79,34.37,17.9
28.6558,0,18.1,0,5.155,100,1.5894,24,666,20.2,210.97,20.08,16.3
1.22358,0,19.58,0,6.943,97.4,1.8773,5,403,14.7,363.43,4.59,41.3
1.34284,0,19.58,0,6.066,100,1.7573,5,403,14.7,353.89,6.43,24.3
1.27346,0,19.58,1,6.25,92.6,1.7984,5,403,14.7,338.92,5.5,27
1.46336,0,19.58,0,7.489,90.8,1.9709,5,403,14.7,374.43,1.73,50
1.83377,0,19.58,1,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50
1.51902,0,19.58,1,8.375,93.9,2.162,5,403,14.7,388.45,3.32,50
2.24236,0,19.58,0,5.854,91.8,2.422,5,403,14.7,395.11,11.64,22.7
2.924,0,19.58,0,6.101,93,2.2834,5,403,14.7,240.16,9.81,25
2.01019,0,19.58,0,7.929,96.2,2.0459,5,403,14.7,369.3,3.7,50
1.80028,0,19.58,0,5.877,79.2,2.4259,5,403,14.7,227.61,12.14,23.8
2.3004,0,19.58,0,6.319,96.1,2.1,5,403,14.7,297.09,11.1,23.8
2.44953,0,19.58,0,6.402,95.2,2.2625,5,403,14.7,330.04,11.32,22.3
1.20742,0,19.58,0,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.4
2.3139,0,19.58,0,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1
0.15086,0,27.74,0,5.454,92.7,1.8209,4,711,20.1,395.09,18.06,15.2
0.18337,0,27.74,0,5.414,98.3,1.7554,4,711,20.1,344.05,23.97,7
0.20746,0,27.74,0,5.093,98,1.8226,4,711,20.1,318.43,29.68,8.1
0.10574,0,27.74,0,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,13.6
0.11132,0,27.74,0,5.983,83.5,2.1099,4,711,20.1,396.9,13.35,20.1
12.0482,0,18.1,0,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,20.8
7.05042,0,18.1,0,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,13.4
4.64689,0,18.1,0,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,29.8
4.87141,0,18.1,0,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,16.7
