"","我們","真愛","剩女","愛上","all_mape"
"rpart","0.1326 #11","0.1097 #10","0.1006 #8","0.1133 #8","0.1144 #9"
"adaboostR2.rpart","0.1145 #4","0.1004 #7","0.1011 #9","0.1094 #5","0.1065 #5"
"trAdaboostR2.rpart","0.13 #10","0.103 #8","0.1067 #10","0.1108 #6.5","0.113 #7"
"lastPeriod","0.1218 #6","0.0932 #4","0.0936 #6","0.1108 #6.5","0.1051 #4"
"avgPastPeriods","0.1248 #7","0.2437 #12","0.0839 #3","0.1059 #4","0.1401 #12"
"HoltWinters.α","0.1039 #2","0.0869 #1","0.0785 #1","0.0994 #3","0.0924 #1"
"HoltWinters.α.β","0.1338 #12","0.0921 #3","0.0864 #5","0.1234 #11","0.1093 #6"
"ESStateSpace","0.1013 #1","0.0906 #2","0.0803 #2","0.0992 #2","0.093 #2"
"auto.arima","0.1073 #3","0.0937 #5","0.0846 #4","0.0991 #1","0.0964 #3"
"rsw.rpart.flat","0.1291 #8","0.1127 #11","0.1232 #12","0.1176 #10","0.1208 #11"
"rsw.rpart.linear","0.1294 #9","0.0991 #6","0.117 #11","0.1139 #9","0.1151 #10"
"rsw.rpart.exp","0.1216 #5","0.1069 #9","0.0945 #7","0.1307 #12","0.1135 #8"
