"","大紅","小資","向前","金大","真愛","國民","犀利","螺絲","all_mape"
"rpart","0.535 #10","0.0876 #9","0.1016 #12","0.1994 #12","0.1571 #10","0.142 #9","0.129 #2","0.1622 #12","0.1715 #10"
"adaboostR2.rpart","0.4579 #8","0.0841 #5.5","0.0847 #7","0.1884 #9","0.1575 #11","0.1408 #8","0.14 #9","0.1231 #7","0.1569 #9"
"trAdaboostR2.rpart","0.4248 #7","0.0866 #8","0.0882 #9","0.1414 #7","0.1631 #12","0.1366 #7","0.1492 #11","0.1477 #11","0.1541 #8"
"lastPeriod","0.2427 #1","0.0853 #7","0.0859 #8","0.1395 #6","0.1265 #5","0.1263 #2","0.1307 #3.5","0.0898 #4","0.1218 #1"
"avgPastPeriods","0.6017 #11","0.1937 #12","0.0647 #2","0.1072 #2.5","0.1398 #7","0.2077 #12","0.4609 #12","0.1375 #10","0.2248 #12"
"HoltWinters.α","0.3247 #3","0.0821 #3","0.0633 #1","0.1194 #4","0.1235 #4","0.1257 #1","0.1307 #3.5","0.089 #2","0.1222 #2"
"HoltWinters.α.β","0.3016 #2","0.0841 #5.5","0.0688 #4","0.1859 #8","0.1515 #9","0.1266 #3","0.1215 #1","0.1322 #9","0.1377 #5"
"ESStateSpace","0.4039 #6","0.0912 #10","0.0649 #3","0.1067 #1","0.1222 #3","0.135 #6","0.133 #6","0.0894 #3","0.1302 #4"
"auto.arima","0.3412 #4","0.0834 #4","0.0718 #5","0.1072 #2.5","0.1302 #6","0.1301 #4","0.1358 #7","0.0958 #5","0.1264 #3"
"rsw.rpart.flat","0.7076 #12","0.1033 #11","0.0984 #11","0.1891 #10","0.1173 #2","0.1642 #10","0.1444 #10","0.1318 #8","0.1823 #11"
"rsw.rpart.linear","0.3643 #5","0.0817 #2","0.0906 #10","0.1926 #11","0.1483 #8","0.1729 #11","0.136 #8","0.0883 #1","0.1469 #7"
"rsw.rpart.exp","0.4655 #9","0.0816 #1","0.0796 #6","0.1243 #5","0.115 #1","0.1329 #5","0.1319 #5","0.1004 #6","0.1383 #6"
